leaf,part,count
Male\White_Anime\YoungAdult,part01,60
Male\White_Anime\YoungAdult,part02,24
Male\White_Painterly\Adult,part01,60
Male\White_Painterly\Adult,part02,46
Male\White_Painterly\Child,,6
Male\White_Painterly\MiddleAge,,23
Male\White_Painterly\Senior,,4
Male\White_Painterly\Teen,,57
Male\White_Painterly\YoungAdult,part01,60
Male\White_Painterly\YoungAdult,part02,60
Male\White_Painterly\YoungAdult,part03,60
Male\White_Painterly\YoungAdult,part04,18
Male\White_Pastel\YoungAdult,,7
Male\White_Photo\Adult,,26
Male\White_Photo\Baby,,1
Male\White_Photo\Child,,1
Male\White_Photo\MiddleAge,,4
Male\White_Photo\Senior,,5
Male\White_Photo\Teen,,40
Male\White_Photo\YoungAdult,part01,60
Male\White_Photo\YoungAdult,part02,25
Male\White_RetroManga\Adult,,23
Male\White_RetroManga\Child,,1
Male\White_RetroManga\MiddleAge,,1
Male\White_RetroManga\Teen,,6
Male\White_RetroManga\YoungAdult,,36
Male\White_Watercolor\Adult,,16
Male\White_Watercolor\MiddleAge,,9
Male\White_Watercolor\Senior,,1
Male\White_Watercolor\YoungAdult,,4
