filename,style,age,race
female_photo_01_baby_toddler_01_r1c1.png,,Adult,White
female_photo_01_baby_toddler_02_r1c2.png,,YoungAdult,Asian
female_photo_01_baby_toddler_03_r2c1.png,,Adult,White
female_photo_01_baby_toddler_04_r2c2.png,,YoungAdult,Asian
female_photo_01_baby_toddler_05_r3c1.png,,Adult,White
female_photo_01_baby_toddler_06_r3c2.png,,Adult,Asian
female_photo_01_baby_toddler_07_r4c1.png,,Adult,Asian
female_photo_01_baby_toddler_08_r4c2.png,,Adult,Asian
female_photo_01_baby_toddler_09_r5c1.png,,Adult,Asian
female_photo_01_baby_toddler_10_r5c2.png,,YoungAdult,Asian
female_photo_01_baby_toddler_11_r6c1.png,,Adult,Asian
female_photo_01_baby_toddler_12_r6c2.png,,Adult,White
female_photo_01_baby_toddler_13_r7c1.png,,Adult,Asian
female_photo_01_baby_toddler_14_r7c2.png,,YoungAdult,White
female_photo_01_baby_toddler_15_r8c1.png,,Adult,Asian
female_photo_01_baby_toddler_16_r8c2.png,,Adult,Asian
female_photo_02_elementary_01_r1c1.png,,Adult,Asian
female_photo_02_elementary_02_r1c2.png,,YoungAdult,Asian
female_photo_02_elementary_03_r2c1.png,,Adult,Asian
female_photo_02_elementary_04_r2c2.png,,Adult,White
female_photo_02_elementary_05_r3c1.png,,Adult,Asian
female_photo_02_elementary_06_r3c2.png,,Adult,White
female_photo_02_elementary_07_r4c1.png,,Adult,White
female_photo_02_elementary_08_r4c2.png,,YoungAdult,Asian
female_photo_02_elementary_09_r5c1.png,,Adult,White
female_photo_02_elementary_10_r5c2.png,,Adult,Asian
female_photo_02_elementary_11_r6c1.png,,YoungAdult,Asian
female_photo_02_elementary_12_r6c2.png,,YoungAdult,White
female_photo_02_elementary_13_r7c1.png,,YoungAdult,Asian
female_photo_02_elementary_14_r7c2.png,,Adult,White
female_photo_02_elementary_15_r8c1.png,,Adult,Asian
female_photo_02_elementary_16_r8c2.png,,YoungAdult,White
female_photo_03_middle_school_01_r1c1.png,,Adult,White
female_photo_03_middle_school_02_r1c2.png,,Adult,White
female_photo_03_middle_school_03_r2c1.png,,Adult,White
female_photo_03_middle_school_04_r2c2.png,,YoungAdult,Asian
female_photo_03_middle_school_05_r3c1.png,,Adult,White
female_photo_03_middle_school_06_r3c2.png,,Adult,White
female_photo_03_middle_school_07_r4c1.png,,Adult,White
female_photo_03_middle_school_08_r4c2.png,,Adult,White
female_photo_03_middle_school_09_r5c1.png,,Adult,White
female_photo_03_middle_school_10_r5c2.png,,YoungAdult,White
female_photo_03_middle_school_11_r6c1.png,,Adult,White
female_photo_03_middle_school_12_r6c2.png,,YoungAdult,White
female_photo_03_middle_school_13_r7c1.png,,Adult,White
female_photo_03_middle_school_14_r7c2.png,,YoungAdult,White
female_photo_03_middle_school_15_r8c1.png,,YoungAdult,Asian
